0,84.51,4
1,43.44,6
2,46.33,7
3,32.84,8
4,57.45,9
5,77.79,11
6,82.09,16
7,12.06,17
8,63.24,18
9,22.53,19
10,50.64,22
11,52.41,24
12,82.13,26
13,42.13,28
14,30.37,29
15,32.22,30
16,22.96,32
17,15.44,35
18,23.06,37
19,38.9,44
20,42.78,46
21,29.64,47
22,27.8,49
23,20.43,54
24,34.08,56
25,38.81,64
26,20.67,66
27,35.78,67
28,54.84,69
29,57.22,72
30,23.87,73
31,59.41,75
32,18.23,80
33,54.55,81
34,27.94,83
35,28.87,86
36,62.93,87
37,42.38,92
38,16.61,93
39,18.7,94
40,27.98,96
41,33.9,101
42,33.18,103
43,40.88,104
44,23.95,105
45,13.82,109
46,41.5,111
47,9.17,113
48,18.41,116
49,42.95,117
50,5.46,119
51,41.97,120
52,28.96,121
53,62.04,122
54,50.27,123
55,32.84,125
56,37.63,126
57,28.56,129
58,34.25,130
59,17.71,135
60,20.2,136
61,43.89,137
62,46.28,144
63,17.19,148
64,27.57,149
65,31.02,151
66,45.21,152
67,47.16,153
68,23.83,157
69,50.91,158
70,32.51,160
71,12.92,161
72,20.45,163
73,39.52,165
74,26.68,167
75,36.37,168
76,51.9,169
77,32.8,172
78,52.7,173
79,30.98,176
80,12.95,177
81,32.14,182
82,21.67,183
83,36.42,184
84,39.81,185
85,20.3,186
86,63.13,187
87,23.76,192
88,4.19,193
89,19.46,195
90,56.57,197
91,27.71,198
92,33.98,199
93,40.2,200
94,29.97,201
95,39.64,202
96,26.77,203
97,27.31,204
98,21.32,206
99,42.51,207
100,46.27,208
101,49.43,210
102,23.97,211
103,32.86,212
104,28.53,214
105,36.83,215
106,29.27,216
107,33.35,217
108,19.93,220
109,31.11,222
110,40.43,223
111,12.6,224
112,7.8,225
113,12.77,228
114,34.02,230
115,32.42,231
116,31.68,233
117,39.61,239
118,19.91,240
119,25.35,242
120,16.97,244
121,25.31,250
122,34.15,252
123,17.45,256
124,70.24,259
125,7.7,263
126,23.09,266
127,18.67,269
128,12.1,270
129,33.47,275
130,15.48,279
131,61.63,281
132,53.61,285
133,18.98,287
134,44.65,288
135,6.39,289
136,64.1,291
137,18.13,295
138,43.83,298
139,22.19,300
140,40.97,305
141,14.01,308
142,70.77,310
143,25.01,312
144,47.66,313
145,23.67,314
146,12.16,315
147,52.57,316
148,41.37,318
149,19.22,320
150,22.77,321
151,43.78,322
152,36.05,323
153,7.91,324
154,35.76,328
155,22.88,330
156,24.93,331
157,23.52,334
158,11.67,335
159,41.59,336
160,15.85,338
161,24.42,339
162,47.04,341
163,26.79,343
164,58.68,344
165,38.55,345
166,40.22,347
167,30.05,349
168,15.46,350
169,22.99,351
170,24.71,355
171,17.18,356
172,9.83,359
173,43,360
174,31.31,361
175,18.89,362
176,49.94,363
177,37.3,365
178,22.89,367
179,41.32,368
180,29.91,369
181,48.97,370
182,32.5,371
183,46.98,373
184,19,375
185,40.82,376
186,28.76,377
187,16.18,378
188,30.86,380
189,40.38,384
190,45.73,385
191,39.91,386
192,39.68,387
193,84.74,389
194,11.19,390
195,58.86,392
196,30.88,395
197,29.44,396
198,32.15,399
199,48.52,401
200,44.4,402
201,71.33,403
202,46.91,405
203,33.22,406
204,38.72,407
205,69.99,410
206,31.93,411
207,46.26,412
208,28.54,414
209,34.26,416
210,35.74,417
211,6.3,418
212,31.61,419
213,65.42,421
214,79.28,423
215,37.01,425
216,33.82,426
217,35.33,428
218,46.43,431
219,23.15,433
220,23.36,434
221,35.11,435
222,44,436
223,30.62,437
224,40.54,438
225,8.58,440
226,35.48,441
227,43.91,445
228,43.25,446
229,40.07,449
230,5.76,450
231,39.51,451
232,11.36,452
233,27.43,453
234,23.36,454
235,28.8,457
236,40.61,458
237,47.83,459
238,31.66,460
239,56,461
240,29.78,463
241,26.34,464
242,41.17,466
243,24.49,467
244,7.4,468
245,60.71,471
246,26.43,473
247,29.42,474
248,21.29,475
249,46.56,476
250,30.37,477
251,45.12,478
252,46.74,479
253,45.5,480
254,30.76,481
255,45.83,483
256,22.27,484
257,34.25,485
258,38.4,488
259,18.17,489
260,34.78,492
261,17.02,493
262,20.22,494
263,55.82,497
264,35.24,499
265,21.79,500
266,54.75,502
267,22.32,503
